Format: LABEL: Actual words in document  --  [Pattern used]  {Original file}  Number of occurrence

COMPANY: provides   <| air |>   &   --   [AIR POWER INTL EXPRESS]  {airpowerusa.com}    Occurrence: 1
COMPANY: of   <| Air Products |>   as   --   [AIR PRODUCTS AND CHEMICALS INCORPORATION]  {airproducts.com}    Occurrence: 1
COMPANY: Inside   <| Sales |>   Support   --   [AIR TECH SALES]  {airtechsales.com}    Occurrence: 4
COMPANY: Houston   <| AIRTEAM |>   Team   --   [AIRTEAM]  {airteamltd.com}    Occurrence: 17
COMPANY:    <| Air Products |>   celebrates   --   [AIR PRODUCTS AND CHEMICALS INCORPORATION]  {airproducts.com}    Occurrence: 1
COMPANY: Axle   <| Trailers |>      --   [AIRPORT TRAILER SALES]  {airporttrailers.com}    Occurrence: 2
COMPANY: ,   <| property |>   management   --   [AIRPORT PROPERTY SPECIALISTS]  {airportproperty.com}    Occurrence: 2
COMPANY: Bed   <| Trailers |>      --   [AIRPORT TRAILER SALES]  {airporttrailers.com}    Occurrence: 8
COMPANY: Scottsdale   <| Airport |>   Hangar   --   [AIRPORT PROPERTY SPECIALISTS]  {airportproperty.com}    Occurrence: 1
COMPANY: right   <| air |>   tools   --   [AIR POWER INCORPORATION]  {airpower-inc.com}    Occurrence: 1
COMPANY: ,   <| Inc |>   .   --   [AIR-PRO INCORPORATION]  {airpro.com}    Occurrence: 2
CONTACT: that   <| Jeff |>   ,   --   [Jeff Crane]  {airproductsinc.com}    Occurrence: 1
COMPANY: management   <| systems |>   ,   --   [AIR SYSTEMS INCORPORATION]  {airsystemsinc.com}    Occurrence: 10
COMPANY:    <| Honda |>   Upgrade   --   [AIRPORT MARINA HONDA]  {airportmarinahonda.com}    Occurrence: 1
COMPANY: by   <| AirTek |>      --   [AIRTEK CONSTRUCTION]  {airtek-troy.com}    Occurrence: 1
COMPANY: up   <| air |>   handling   --   [AIR STREAM AIR CONDITIONING]  {airstreamac.com}    Occurrence: 1
COMPANY: your   <| trailer |>   will   --   [AIRPORT TRAILER SALES]  {airporttrailers.com}    Occurrence: 1
ADDRESS:    <| Price |>      --   [275 S PRICE ROAD]  {airproducts.com}    Occurrence: 1
COMPANY:    <| airtech |>   @   --   [AIRTECH INTERNATIONAL]  {airtechonline.com}    Occurrence: 2
