Format: LABEL: Actual words in document  --  [Pattern used]  {Original file}  Number of occurrence

COMPANY: retail   <| logistics |>   solution   --   [AIT WORLDWIDE LOGISTICS]  {aitworldwidelogistics.com}    Occurrence: 1
COMPANY: Foxcroft   <| School |>   Open   --   [ASSOCIATION-INDEPENDENT SCHOOL]  {aisgw.org}    Occurrence: 1
ADDRESS: :   <| St. |>   John   --   [1524 35TH ST NW]  {aisgw.org}    Occurrence: 1
COMPANY: Day   <| School |>   ,   --   [ASSOCIATION-INDEPENDENT SCHOOL]  {aisgw.org}    Occurrence: 9
COMPANY: indoor   <| air |>   quality   --   [AIR AND WATER TECHNOLOGY SALES]  {airwater.com}    Occurrence: 2
COMPANY: and   <| logistics |>   company   --   [AIT WORLDWIDE LOGISTICS]  {aitworldwidelogistics.com}    Occurrence: 1
ADDRESS: ’   <| s |>      --   [1630 S MYRTLE AVENUE]  {airtro.com}    Occurrence: 1
COMPANY:    <| AIT |>   Lens   --   [AIT INDUSTRIES]  {aitindustries.com}    Occurrence: 9
COMPANY: at   <| AIT |>   .   --   [AIT INDUSTRIES]  {aitindustries.com}    Occurrence: 2
COMPANY:    <| AJA |>   Plug-in   --   [AJA VIDEO]  {aja.com}    Occurrence: 1
COMPANY:    <| Services |>   Offered   --   [AIRTEK SERVICES INCORPORATION]  {airtekservices.com}    Occurrence: 9
COMPANY: or   <| Heating |>   Repair   --   [AIRWISE HEATING AND AIR COND]  {airwiseair.com}    Occurrence: 1
COMPANY:    <| Air Temp |>   Utica   --   [AIR TEMP HEATING AND AIR COND]  {airtemphvac.com}    Occurrence: 2
COMPANY: transportation   <| logistics |>   solutions   --   [AIT WORLDWIDE LOGISTICS]  {aitworldwidelogistics.com}    Occurrence: 2
COMPANY: Send   <| a |>   Request   --   [A AND J MFG CO]  {aj-racks.com}    Occurrence: 3
COMPANY:    <| School |>   Calendars   --   [ASSOCIATION-INDEPENDENT SCHOOL]  {aisgw.org}    Occurrence: 3
COMPANY: |   <| water |>   filters   --   [AIR AND WATER TECHNOLOGY SALES]  {airwater.com}    Occurrence: 2
COMPANY: &   <| Heating |>   Repair   --   [AIRWISE HEATING AND AIR COND]  {airwiseair.com}    Occurrence: 6
COMPANY: ,   <| air |>   recon   --   [AIR WEST INCORPORATION]  {airwestinc.com}    Occurrence: 2
COMPANY: Slump   <| Block |>   ,   --   [AIR-VOL BLOCK]  {airvolblock.com}    Occurrence: 1
COMPANY: at   <| Airwise |>   are   --   [AIRWISE HEATING AND AIR COND]  {airwiseair.com}    Occurrence: 1
COMPANY: Acres   <| School |>   Open   --   [ASSOCIATION-INDEPENDENT SCHOOL]  {aisgw.org}    Occurrence: 1
COMPANY: River   <| School |>   ,   --   [ASSOCIATION-INDEPENDENT SCHOOL]  {aisgw.org}    Occurrence: 1
COMPANY: The   <| Aviation |>   industry   --   [AVIATION INSURANCE SVC-NV INCORPORATION]  {aisins.com}    Occurrence: 1
COMPANY: the   <| video |>   source   --   [AJA VIDEO]  {aja.com}    Occurrence: 1
COMPANY: Madeira   <| School |>   ,   --   [ASSOCIATION-INDEPENDENT SCHOOL]  {aisgw.org}    Occurrence: 1
COMPANY: Connelly   <| School |>   of   --   [ASSOCIATION-INDEPENDENT SCHOOL]  {aisgw.org}    Occurrence: 1
COMPANY: by   <| Air Temp |>   ?   --   [AIR TEMP HEATING AND AIR COND]  {airtemphvac.com}    Occurrence: 1
COMPANY:    <| Air Temp |>   Has   --   [AIR TEMP HEATING AND AIR COND]  {airtemphvac.com}    Occurrence: 1
COMPANY: available   <| worldwide |>   .   --   [AIT WORLDWIDE LOGISTICS]  {aitworldwidelogistics.com}    Occurrence: 1
COMPANY: for   <| AJA |>   product   --   [AJA VIDEO]  {aja.com}    Occurrence: 1
COMPANY: business   <| solutions |>   with   --   [ADVANCED IMAGING SOLUTIONS]  {ais-now.com}    Occurrence: 1
ADDRESS: ’   <| s |>   AHRI   --   [1630 S MYRTLE AVENUE]  {airtro.com}    Occurrence: 1
COMPANY: of   <| Airways |>   Sales   --   [AIRWAYS FREIGHT CORP]  {airwaysfreight.com}    Occurrence: 2
COMPANY: Center   <| Solutions |>   &   --   [ADVANCED IMAGING SOLUTIONS]  {ais-now.com}    Occurrence: 1
COMPANY: Every   <| transmission |>   problem   --   [A-IVIE 'S TRANSMISSION]  {aiviestransmission.com}    Occurrence: 1
ADDRESS: ’   <| s |>   getting   --   [1630 S MYRTLE AVENUE]  {airtro.com}    Occurrence: 1
COMPANY: any   <| transmission |>   problem   --   [A-IVIE 'S TRANSMISSION]  {aiviestransmission.com}    Occurrence: 1
COMPANY: disparate   <| video |>   and   --   [AJA VIDEO]  {aja.com}    Occurrence: 1
COMPANY: SD   <| video |>      --   [AJA VIDEO]  {aja.com}    Occurrence: 1
COMPANY: purchases   <| AIT |>   from   --   [AIT INDUSTRIES]  {aitindustries.com}    Occurrence: 1
COMPANY: in   <| air |>   conditioning   --   [AIR XPRESS]  {airxpressonline.com}    Occurrence: 1
COMPANY: of   <| AIT |>   equipment   --   [AIT INDUSTRIES]  {aitindustries.com}    Occurrence: 1
COMPANY: UsAirways   <| Freight |>   Corporation   --   [AIRWAYS FREIGHT CORP]  {airwaysfreight.com}    Occurrence: 1
COMPANY: limos   <| in |>   Orange   --   [ARRIVE IN STYLE LIMOUSINES INCORPORATION]  {aislimos.com}    Occurrence: 1
ADDRESS: ’   <| s |>   license   --   [1630 S MYRTLE AVENUE]  {airtro.com}    Occurrence: 1
COMPANY: Episcopal   <| School |>   ,   --   [ASSOCIATION-INDEPENDENT SCHOOL]  {aisgw.org}    Occurrence: 1
COMPANY: Ask   <| Air Temp |>      --   [AIR TEMP HEATING AND AIR COND]  {airtemphvac.com}    Occurrence: 4
COMPANY: their   <| products |>   can   --   [AIRTONICS METAL PRODUCTS INCORPORATION]  {airtronics.com}    Occurrence: 1
COMPANY: Many   <| Solutions |>      --   [ADVANCED IMAGING SOLUTIONS]  {ais-now.com}    Occurrence: 1
COMPANY: by   <| Artemis |>   to   --   [ARTEMIS INTERNATIONAL SOLUTION]  {aisc.com}    Occurrence: 1
COMPANY: of   <| insurance |>   specifications   --   [AVIATION INSURANCE SVC-NV INCORPORATION]  {aisins.com}    Occurrence: 1
COMPANY: Input   <| Video |>   Format   --   [AJA VIDEO]  {aja.com}    Occurrence: 1
ADDRESS:    <| St. |>   John   --   [1524 35TH ST NW]  {aisgw.org}    Occurrence: 1
