Format: LABEL: Actual words in document  --  [Pattern used]  {Original file}  Number of occurrence

COMPANY: us   <| a |>   call   --   [A J PRINTING AND GRAPHICS]  {ajprinting.com}    Occurrence: 38
COMPANY: ,   <| Ajo |>   Arizona   --   [AJO REALTY]  {ajorealty.com}    Occurrence: 1
COMPANY:    <| Gallagher |>   ’   --   [GALLAGHER BYERLY INCORPORATION]  {ajg.com}    Occurrence: 3
COMPANY: is   <| a |>   United   --   [A J PRINTING AND GRAPHICS]  {ajprinting.com}    Occurrence: 2
COMPANY: have   <| a |>   focused   --   [A J JOHNS INCORPORATION]  {ajjohns.com}    Occurrence: 1
COMPANY: your   <| insurance |>   program   --   [BRYCE INSURANCE]  {ajg.com}    Occurrence: 2
ADDRESS: The   <| road |>   we   --   [3225 ANNISTON ROAD]  {ajjohns.com}    Occurrence: 1
COMPANY:    <| Jewish |>   Voice   --   [AMERICAN JEWISH CONGRESS]  {ajcongress.org}    Occurrence: 3
COMPANY: is   <| a |>   sure   --   [A J BENET INCORPORATION]  {ajbenet.com}    Occurrence: 1
COMPANY: Security   <| System |>   Products   --   [AJILE SYSTEMS]  {ajile.com}    Occurrence: 1
CONTACT: appreciate   <| Alan |>   ’   --   [Alan Benet]  {ajbenet.com}    Occurrence: 1
CONTACT:    <| Benet |>   in   --   [Alan Benet]  {ajbenet.com}    Occurrence: 3
COMPANY: Realty   <| Ajo |>   Arizona   --   [AJO REALTY]  {ajorealty.com}    Occurrence: 2
COMPANY: as   <| a |>   business   --   [J A LORENZO AND CO LTD]  {ajg.com}    Occurrence: 1
COMPANY: other   <| printing |>   that   --   [A J PRINTING AND GRAPHICS]  {ajprinting.com}    Occurrence: 2
COMPANY: makes   <| a |>   nice   --   [A J PRINTING AND GRAPHICS]  {ajprinting.com}    Occurrence: 2
COMPANY: with   <| a |>   very   --   [A J BENET INCORPORATION]  {ajbenet.com}    Occurrence: 1
COMPANY: to   <| a |>   full   --   [A J JOHNS INCORPORATION]  {ajjohns.com}    Occurrence: 1
COMPANY: had   <| a |>   major   --   [A J BENET INCORPORATION]  {ajbenet.com}    Occurrence: 1
COMPANY: find   <| a |>   place   --   [A J PRINTING AND GRAPHICS]  {ajprinting.com}    Occurrence: 2
COMPANY: of   <| printing |>   projects   --   [A J PRINTING AND GRAPHICS]  {ajprinting.com}    Occurrence: 2
COMPANY:    <| aJile |>   '   --   [AJILE SYSTEMS]  {ajile.com}    Occurrence: 3
COMPANY: format   <| printing |>   and   --   [A J PRINTING AND GRAPHICS]  {ajprinting.com}    Occurrence: 2
COMPANY: as   <| a |>   personalized   --   [A J PRINTING AND GRAPHICS]  {ajprinting.com}    Occurrence: 2
COMPANY: discs   <| a |>   crisp   --   [A J PRINTING AND GRAPHICS]  {ajprinting.com}    Occurrence: 2
COMPANY: ,   <| a |>   world   --   [J A LORENZO AND CO LTD]  {ajg.com}    Occurrence: 1
CONTACT: ,   <| Alan |>   and   --   [Alan Benet]  {ajbenet.com}    Occurrence: 1
COMPANY: to   <| a |>   fleet   --   [J A LORENZO AND CO LTD]  {ajg.com}    Occurrence: 1
CONTACT:    <| Greg |>   ,   --   [Greg Johnston]  {ajprinting.com}    Occurrence: 30
