Format: LABEL: Actual words in document  --  [Pattern used]  {Original file}  Number of occurrence

COMPANY: visit   <| Airport Marina Honda |>   or   --   [AIRPORT MARINA HONDA]  {airportmarinahonda.com}    Occurrence: 1
CITY: Headquarters   <| Huntington Beach |>   ,   --   [HUNTINGTON BEACH]  {airtechonline.com}    Occurrence: 1
CITY: ,   <| fremont |>   commercial   --   [FREMONT]  {airtechmechanical.com}    Occurrence: 4
ADDRESS:    <| 315 W. Magnolia Ave |>   .   --   [315 W MAGNOLIA AVENUE]  {airrite.com}    Occurrence: 1
COMPANY: a   <| Air Projects |>   Travel   --   [AIR PROJECTS]  {airprojects.com}    Occurrence: 1
ZIP: CA   <| 91406 |>      --   [91406 1308]  {airproductsinc.com}    Occurrence: 5
COMPANY:    <| Air Systems , Inc. |>   offers   --   [AIR SYSTEMS INCORPORATION]  {airsystemsinc.com}    Occurrence: 1
COMPANY: with   <| Air Products Inc |>   and   --   [AIR PRODUCTS INCORPORATION]  {airproductsinc.com}    Occurrence: 1
COMPANY: ,   <| System Studies |>   recently   --   [SYSTEM STUDIES]  {airtalk.com}    Occurrence: 1
COMPANY: Contact   <| Air Power , Inc. |>   for   --   [AIR POWER INCORPORATION]  {airpower-inc.com}    Occurrence: 1
COMPANY:    <| Air Shunt Instruments |>   stocks   --   [AIR SHUNT INSTRUMENTS INCORPORATION]  {airshunt.com}    Occurrence: 1
STATE: ,   <| AZ |>   85260   --   [AZ]  {airportproperty.com}    Occurrence: 3
CITY: in   <| Stamford |>   ,   --   [STAMFORD]  {airtech-hvac.com}    Occurrence: 1
COMPANY:    <| Air Shunt Instruments |>   ’   --   [AIR SHUNT INSTRUMENTS INCORPORATION]  {airshunt.com}    Occurrence: 2
CITY:    <| Honolulu |>   ,   --   [HONOLULU]  {airseatvl.com}    Occurrence: 3
CITY: including   <| San Jose |>   ,   --   [SAN JOSE]  {airsystemsinc.com}    Occurrence: 1
CITY:    <| Santa Clara |>   office   --   [SANTA CLARA]  {airportpark.com}    Occurrence: 1
ADDRESS:    <| 2884 South Horseshoe |>   Drive   --   [2884 HORSESHOE DR S]  {airtechnology.com}    Occurrence: 1
COMPANY: At   <| Airport Marina Honda |>   ,   --   [AIRPORT MARINA HONDA]  {airportmarinahonda.com}    Occurrence: 1
CITY: the   <| Scottsdale |>   Airpark   --   [SCOTTSDALE]  {airportproperty.com}    Occurrence: 1
CITY:    <| Troy |>   ,   --   [TROY]  {airtek-troy.com}    Occurrence: 3
COMPANY: to   <| Air Products |>   and   --   [AIR PRODUCTS INCORPORATION]  {airproductsinc.com}    Occurrence: 1
COMPANY: ,   <| Air Power , Inc. |>   can   --   [AIR POWER INCORPORATION]  {airpower-inc.com}    Occurrence: 1
CONTACT: and   <| Sylvia Jimenez |>   since   --   [Sylvia Jimenez]  {airsystemsac.com}    Occurrence: 2
COMPANY: Stream   <| Air Conditioning |>   Corporation   --   [AIR STREAM AIR CONDITIONING]  {airstreamac.com}    Occurrence: 5
COMPANY: |   <| Air Power , Inc |>   .   --   [AIR POWER INCORPORATION]  {airpower-inc.com}    Occurrence: 6
COMPANY: With   <| Air Product |>   &   --   [AIR PRODUCTS INCORPORATION]  {airproductsinc.com}    Occurrence: 1
COMPANY:    <| Air Technology Engines |>   specializes   --   [AIR TECHNOLOGY ENGINES INCORPORATION]  {airtechnology.com}    Occurrence: 2
COMPANY: your   <| air conditioning and heating |>   needs.The   --   [AIR QUEST HEATING AND COOLING]  {airquestaz.com}    Occurrence: 1
CONTACT:    <| Andy Brunkala |>   has   --   [Andy Brunkala]  {airtechofcentralflorida.com}    Occurrence: 1
COMPANY: ,   <| Air Products |>   entire   --   [AIR PRODUCTS INCORPORATION]  {airproductsinc.com}    Occurrence: 1
ADDRESS: -   <| 1400 Coleman Avenue |>   ,   --   [1400 COLEMAN AVENUE]  {airportpark.com}    Occurrence: 5
STATE: ,   <| NJ |>   07866   --   [NJ]  {airpurifiersinc.com}    Occurrence: 1
COMPANY:    <| Airport Trailer |>   serves   --   [AIRPORT TRAILER SALES]  {airporttrailers.com}    Occurrence: 1
COMPANY:    <| Airport Trailer |>   is   --   [AIRPORT TRAILER SALES]  {airporttrailers.com}    Occurrence: 2
ZIP:    <| 95678 |>      --   [95678 6309]  {airtechsales.com}    Occurrence: 1
COMPANY:    <| Air Technology |>      --   [AIR TECHNOLOGY ENGINES INCORPORATION]  {airtechnology.com}    Occurrence: 7
COMPANY:    <| Air Systems |>   offers   --   [AIR SYSTEMS INCORPORATION]  {airsystemsinc.com}    Occurrence: 1
COMPANY: that   <| Air Products |>   service   --   [AIR PRODUCTS INCORPORATION]  {airproductsinc.com}    Occurrence: 1
STATE: ,   <| AZ |>   85706   --   [AZ]  {airsupportinc.com}    Occurrence: 1
COMPANY:    <| Air Quest Heating & Cooling |>   Corp   --   [AIR QUEST HEATING AND COOLING]  {airquestaz.com}    Occurrence: 3
STATE: ,   <| TX |>   78711   --   [TX]  {airsystemsac.com}    Occurrence: 4
CITY:    <| Jacksonville |>      --   [JACKSONVILLE]  {airsman-hires.com}    Occurrence: 2
COMPANY: to   <| Airport Marina Honda |>   .   --   [AIRPORT MARINA HONDA]  {airportmarinahonda.com}    Occurrence: 1
STATE: County   <| IL |>   .   --   [IL]  {airtechcorp.com}    Occurrence: 1
COMPANY:    <| Air Projects |>   Travel   --   [AIR PROJECTS]  {airprojects.com}    Occurrence: 6
ZIP: CA   <| 91311 |>      --   [91311 6037]  {airshunt.com}    Occurrence: 1
COMPANY:    <| Air Power Inc |>   .   --   [AIR POWER INCORPORATION]  {airpower-inc.com}    Occurrence: 1
COMPANY:    <| Air Power |>   is   --   [AIR POWER INTL EXPRESS]  {airpowerusa.com}    Occurrence: 1
STATE: ,   <| CA |>   90045   --   [CA]  {airportmarinahonda.com}    Occurrence: 3
COMPANY: 2015   <| Boyd Group |>   International   --   [BOYD GROUP /ASRC]  {airportplanning.com}    Occurrence: 1
COMPANY:    <| Airport Park Garden Office |>   Suites   --   [AIRPORT PARK OFFICE BUILDING]  {airportpark.com}    Occurrence: 7
CITY: –   <| Fort Worth |>   ,   --   [FORT WORTH]  {airrite.com}    Occurrence: 1
STATE: ,   <| AL |>   36302   --   [AL]  {airsouthinsurance.com}    Occurrence: 1
CITY: in   <| Jacksonville |>      --   [JACKSONVILLE]  {airsman-hires.com}    Occurrence: 1
CITY: in   <| Van Nuys |>   since   --   [VAN NUYS]  {airproductsinc.com}    Occurrence: 1
STATE: ,   <| AL |>   provides   --   [AL]  {airtek-troy.com}    Occurrence: 1
COMPANY:    <| Air Projects |>      --   [AIR PROJECTS]  {airprojects.com}    Occurrence: 1
CITY:    <| Roodhouse |>      --   [ROODHOUSE]  {airsman-hires.com}    Occurrence: 2
COMPANY: of   <| System Studies |>   Incorporated   --   [SYSTEM STUDIES]  {airtalk.com}    Occurrence: 1
COMPANY: your   <| heating and cooling |>   system   --   [AIR QUEST HEATING AND COOLING]  {airquestaz.com}    Occurrence: 1
COMPANY:    <| AIRSMITHS , INC |>   .   --   [AIRSMITH INCORPORATION]  {airsmiths.com}    Occurrence: 2
STATE: ,   <| FL |>   32750   --   [FL]  {airtechofcentralflorida.com}    Occurrence: 9
STATE: Services   <| AZ |>   |   --   [AZ]  {airsupportinc.com}    Occurrence: 4
CITY: in   <| Stamford |>      --   [STAMFORD]  {airtech-hvac.com}    Occurrence: 1
CITY:    <| Evergreen |>   ,   --   [EVERGREEN]  {airportplanning.com}    Occurrence: 1
CITY:    <| Rockaway |>   ,   --   [ROCKAWAY]  {airpurifiersinc.com}    Occurrence: 1
COMPANY:    <| Air Fare , Travel |>   ,   --   [AIR AND SEA TRAVEL CTR INCORPORATION]  {airseatvl.com}    Occurrence: 1
COMPANY: at   <| Air Products |>   is   --   [AIR PRODUCTS INCORPORATION]  {airproductsinc.com}    Occurrence: 1
CITY: ,   <| fremont |>   hvac   --   [FREMONT]  {airtechmechanical.com}    Occurrence: 4
CITY:    <| San Antonio |>      --   [SAN ANTONIO]  {airstar-hvac.com}    Occurrence: 2
COMPANY: indoor   <| air quality products |>   that   --   [AIR PRODUCTS INCORPORATION]  {airproductsinc.com}    Occurrence: 1
COMPANY: Efficient   <| Heating & Cooling |>      --   [AIRTECH HEATING AND COOLING CORP]  {airtechcorp.com}    Occurrence: 8
CITY: ,   <| Alabaster |>   ,   --   [ALABASTER]  {airportmarine.com}    Occurrence: 2
CITY: Conditioning   <| San Antonio |>   -   --   [SAN ANTONIO]  {airsystemsac.com}    Occurrence: 2
COMPANY:    <| Airport Marina Honda |>   ,   --   [AIRPORT MARINA HONDA]  {airportmarinahonda.com}    Occurrence: 1
COMPANY:    <| Airtech of Stamford |>   Offers   --   [AIRTECH OF STAMFORD INCORPORATION]  {airtech-hvac.com}    Occurrence: 1
COMPANY: The   <| Airport Property |>   Team   --   [AIRPORT PROPERTY SPECIALISTS]  {airportproperty.com}    Occurrence: 1
CITY: In   <| Stamford |>      --   [STAMFORD]  {airtech-hvac.com}    Occurrence: 2
STATE: ,   <| IL |>   ,   --   [IL]  {airsman-hires.com}    Occurrence: 1
CITY: In   <| Van Nuys |>      --   [VAN NUYS]  {airproductsinc.com}    Occurrence: 7
COMPANY: 2016   <| Air Products and Chemicals , Inc |>   .   --   [AIR PRODUCTS AND CHEMICALS INCORPORATION]  {airproducts.com}    Occurrence: 12
COMPANY: of   <| AIR TECH SALES |>   ready   --   [AIR TECH SALES]  {airtechsales.com}    Occurrence: 1
STATE: ,   <| CA |>   95827   --   [CA]  {airsystems1.com}    Occurrence: 2
CITY: Lehigh   <| Valley |>   ,   --   [FOUNTAIN VALLEY]  {airproducts.com}    Occurrence: 1
COMPANY: ,   <| System Studies |>   soon   --   [SYSTEM STUDIES]  {airtalk.com}    Occurrence: 1
STATE: ,   <| CA |>   91311   --   [CA]  {airshunt.com}    Occurrence: 1
CITY: Our   <| Los Angeles |>   Honda   --   [LOS ANGELES]  {airportmarinahonda.com}    Occurrence: 1
CITY: â¢   <| Tucson |>   ,   --   [TUCSON]  {airquestaz.com}    Occurrence: 1
COMPANY: ©   <| Air & Sea Travel |>   Center   --   [AIR AND SEA TRAVEL CTR INCORPORATION]  {airseatvl.com}    Occurrence: 3
COMPANY: from   <| Air Product |>   &   --   [AIR PRODUCTS INCORPORATION]  {airproductsinc.com}    Occurrence: 1
COMPANY: ,   <| Air Purifiers , Inc. |>   has   --   [AIR PURIFIERS INCORPORATION]  {airpurifiersinc.com}    Occurrence: 1
CITY: in   <| Santa Clara |>   .   --   [SANTA CLARA]  {airportpark.com}    Occurrence: 1
COMPANY:    <| Heating & Cooling |>   Maintenance   --   [AIRTECH HEATING AND COOLING CORP]  {airtechcorp.com}    Occurrence: 3
STATE: ,   <| CT |>   ,   --   [CT]  {airtech-hvac.com}    Occurrence: 4
COMPANY: |   <| Airport Trailer |>   LLC   --   [AIRPORT TRAILER SALES]  {airporttrailers.com}    Occurrence: 4
ADDRESS:    <| 6119 Westview |>   Drive   --   [6119 WESTVIEW DR]  {airteamltd.com}    Occurrence: 24
CITY: in   <| San Antonio |>   .   --   [SAN ANTONIO]  {airstar-hvac.com}    Occurrence: 1
COMPANY: ,   <| airport park |>   ,   --   [AIRPORT PARK OFFICE BUILDING]  {airportpark.com}    Occurrence: 1
COMPANY:    <| Air Technology , Inc. |>   has   --   [AIR TECHNOLOGY ENGINES INCORPORATION]  {airtechnology.com}    Occurrence: 2
COMPANY: |   <| Airtech of Stamford |>   |   --   [AIRTECH OF STAMFORD INCORPORATION]  {airtech-hvac.com}    Occurrence: 2
COMPANY: the   <| System Studies |>   monitoring   --   [SYSTEM STUDIES]  {airtalk.com}    Occurrence: 1
COMPANY:    <| Air Service Hawaii |>   |   --   [AIR SERVICE HAWAII]  {airservicehawaii.com}    Occurrence: 2
ZIP:    <| 91406 |>      --   [91406 1308]  {airproductsinc.com}    Occurrence: 8
ADDRESS: ​   <| 1405 Lincoln Avenue |>   ,   --   [1405 LINCOLN AVENUE]  {airsman-hires.com}    Occurrence: 1
COMPANY:    <| Air Systems |>      --   [AIR SYSTEMS INCORPORATION]  {airsystemsinc.com}    Occurrence: 1
CITY: Maintenance   <| Houston |>   |   --   [HOUSTON]  {airteamltd.com}    Occurrence: 2
COMPANY:    <| Airport Property Specialists |>   provides   --   [AIRPORT PROPERTY SPECIALISTS]  {airportproperty.com}    Occurrence: 1
COMPANY: for   <| Air Product |>   &   --   [AIR PRODUCTS INCORPORATION]  {airproductsinc.com}    Occurrence: 1
COMPANY: recommended   <| Air Products |>   to   --   [AIR PRODUCTS INCORPORATION]  {airproductsinc.com}    Occurrence: 1
CITY:    <| Phoenix |>   Location   --   [PHOENIX]  {airsupportinc.com}    Occurrence: 1
COMPANY: 1996-2016   <| System Studies |>   Incorporated   --   [SYSTEM STUDIES]  {airtalk.com}    Occurrence: 5
STATE: ,   <| CA |>   95122   --   [CA]  {airsystemsinc.com}    Occurrence: 1
ZIP: AZ   <| 85281 |>      --   [85281 3094]  {airtekair.com}    Occurrence: 1
COMPANY:    <| Airship Man | Management |>   of   --   [AIRSHIP MANAGEMENT SVC]  {airshipman.com}    Occurrence: 2
COMPANY: of   <| Boyd Group |>   international   --   [BOYD GROUP /ASRC]  {airportplanning.com}    Occurrence: 1
CITY:    <| White Hall |>      --   [WHITE HALL]  {airsman-hires.com}    Occurrence: 2
CITY: The   <| Scottsdale |>   Airpark   --   [SCOTTSDALE]  {airportproperty.com}    Occurrence: 1
COMPANY: 2005   <| Air Shunt Instruments , Inc |>   .   --   [AIR SHUNT INSTRUMENTS INCORPORATION]  {airshunt.com}    Occurrence: 5
