Format: LABEL: Actual words in document  --  [Pattern used]  {Original file}  Number of occurrence

COMPANY: ©   <| Arthur J. Gallagher & Co. |>   1999   --   [ARTHUR J GALLAGHER AND CO]  {ajg.com}    Occurrence: 9
ZIP: Alabama   <| 36602 |>      --   [36602 3222]  {ajlaw.com}    Occurrence: 7
COMPANY:    <| Ajanta Restaurant |>   |   --   [AJANTA RESTAURANT]  {ajantarestaurant.com}    Occurrence: 1
CITY:    <| Anchorage |>   ,   --   [ANCHORAGE]  {ajeatt.org}    Occurrence: 1
COMPANY:    <| Anderson , Julian & Hull |>   LLP   --   [ANDERSON JULIAN AND HULL]  {ajhlaw.com}    Occurrence: 3
ADDRESS:    <| 430 Center Avenue |>      --   [430 CENTER AVENUE # 2]  {ajbenet.com}    Occurrence: 11
COMPANY:    <| Ajillus , Inc. |>   :   --   [AJILLUS INCORPORATION]  {ajillus.com}    Occurrence: 8
COMPANY: ,   <| AJF Financial |>   Services   --   [AJF FINANCIAL SVC]  {ajffinancial.com}    Occurrence: 3
CITY: 488   <| Chandler |>   ,   --   [CHANDLER]  {ajsfinefoods.com}    Occurrence: 2
CITY: Vaqueros   <| Las Vegas |>   are   --   [NORTH LAS VEGAS]  {ajbuilders.com}    Occurrence: 1
ZIP: WA   <| 98101 |>      --   [98101 2229]  {ajillus.com}    Occurrence: 1
COMPANY:    <| J. Patrick Gallagher |>   Jr   --   [ARTHUR J GALLAGHER AND CO]  {ajg.com}    Occurrence: 1
CITY: 180   <| Washington |>   Ave   --   [WASHINGTON]  {ajas.org}    Occurrence: 1
CITY:    <| Mamaroneck |>   ,   --   [MAMARONECK]  {ajbenet.com}    Occurrence: 11
STATE: ,   <| NY |>   10543   --   [NY]  {ajbenet.com}    Occurrence: 11
COMPANY: About   <| A & J Programming |>      --   [A AND J PROGRAMMING]  {ajprogram.com}    Occurrence: 1
COMPANY:    <| Ajo Realty |>   Ajo   --   [AJO REALTY]  {ajorealty.com}    Occurrence: 2
COMPANY:    <| American Jewish Congress |>      --   [AMERICAN JEWISH CONGRESS]  {ajcongress.org}    Occurrence: 6
STATE: ,   <| PA |>   19013   --   [PA]  {ajlewiscorp.com}    Occurrence: 6
COMPANY: the   <| American Jewish Congress |>   has   --   [AMERICAN JEWISH CONGRESS]  {ajcongress.org}    Occurrence: 7
CITY: in   <| San Luis Obispo |>   County   --   [SAN LUIS OBISPO]  {ajrefrigeration.net}    Occurrence: 1
CITY: |   <| Boise |>   ,   --   [BOISE]  {ajhlaw.com}    Occurrence: 6
COMPANY:    <| A & J Programming |>   |   --   [A AND J PROGRAMMING]  {ajprogram.com}    Occurrence: 6
STATE: ,   <| OH |>   45414   --   [OH]  {ajmechanical.com}    Occurrence: 4
COMPANY:    <| Benet , Inc. |>   embraces   --   [A J BENET INCORPORATION]  {ajbenet.com}    Occurrence: 1
CONTACT: son   <| J. Marshall Hunter |>   .   --   [J Marshall Hunter]  {ajaxconstructioninc.com}    Occurrence: 1
COMPANY: visiting   <| Ajax Auto |>   ,   --   [AJAX AUTO WRECKING INCORPORATION]  {ajaxauto.com}    Occurrence: 1
STATE: ,   <| IL |>   60139   --   [IL]  {ajrintl.com}    Occurrence: 8
COMPANY: Not   <| A & J Sales |>   .   --   [A AND J SALES]  {ajsalesent.com}    Occurrence: 2
ADDRESS:    <| 430 Center Ave |>      --   [430 CENTER AVENUE # 2]  {ajbenet.com}    Occurrence: 1
STATE: Seattle   <| WA |>   98101   --   [WA]  {ajillus.com}    Occurrence: 1
COMPANY:    <| Ajax Paving |>   –   --   [AJAX PAVING INDUSTRIES INCORPORATION]  {ajaxpaving.com}    Occurrence: 2
COMPANY:    <| Ajillus  , Inc. |>   is   --   [AJILLUS INCORPORATION]  {ajillus.com}    Occurrence: 1
CITY: in   <| New York |>   —   --   [NEW YORK]  {ajg.com}    Occurrence: 1
CITY: ~   <| Pasadena |>      --   [PASADENA]  {ajlongo.com}    Occurrence: 7
CITY: of   <| North Las Vegas |>   Rotary   --   [NORTH LAS VEGAS]  {ajbuilders.com}    Occurrence: 1
ZIP: Arizona   <| 85321 |>      --   [85321 2250]  {ajorealty.com}    Occurrence: 1
CITY: ,   <| Mamaroneck |>   ,   --   [MAMARONECK]  {ajbenet.com}    Occurrence: 4
CITY:    <| Pasadena |>   Insurance   --   [PASADENA]  {ajlongo.com}    Occurrence: 7
CITY: |   <| Boise |>   Trampolines   --   [BOISE]  {ajlandmark.com}    Occurrence: 2
CONTACT:    <| Andrew Friedman |>   ,   --   [Andrew Friedman]  {ajffinancial.com}    Occurrence: 3
COMPANY:    <| A & J Refrigeration |>   ,   --   [A AND J REFRIGERATION]  {ajrefrigeration.net}    Occurrence: 4
CITY: |   <| Denver |>   ,   --   [DENVER]  {ajrobbins.com}    Occurrence: 5
COMPANY:    <| AJR International , Inc |>      --   [AJR INTL INCORPORATION]  {ajrintl.com}    Occurrence: 4
CITY:    <| Las Vegas |>   –   --   [NORTH LAS VEGAS]  {ajbuilders.com}    Occurrence: 1
CITY: in   <| Chicago |>   and   --   [CHICAGO]  {ajilon.com}    Occurrence: 2
CITY: lifetime   <| Santa Rosa |>   resident   --   [SANTA ROSA]  {ajprinting.com}    Occurrence: 2
ADDRESS: at   <| 253 North Lake Avenue |>   |   --   [253 N LAKE AVENUE]  {ajlongo.com}    Occurrence: 1
COMPANY: 2015   <| AJO AL ’ S MEXICAN CAFE |>   .   --   [AJO AL 'S MEXICAN CAFE]  {ajoals.com}    Occurrence: 1
COMPANY: to   <| shrink wrapping or laminating |>   ?   --   [AJM SHRINK WRAP AND LAMINATING]  {ajminc.com}    Occurrence: 2
CITY: our   <| Santa Rosa |>   office   --   [SANTA ROSA]  {ajprinting.com}    Occurrence: 30
ADDRESS:    <| 253 North Lake Avenue |>   |   --   [253 N LAKE AVENUE]  {ajlongo.com}    Occurrence: 7
CONTACT:    <| Robert A. Anderson |>   ,   --   [Robert A Anderson]  {ajhlaw.com}    Occurrence: 1
ZIP: NJ   <| 08817 |>      --   [08817 3163]  {ajel.com}    Occurrence: 6
COMPANY: Joint   <| Electrical Apprenticeship |>   and   --   [ELECTRICAL APPRENTICESHIP SCHL]  {ajeatt.org}    Occurrence: 1
COMPANY:    <| American Jewish Committee |>   ,   --   [AMERICAN JEWISH COMMITTEE]  {ajc.org}    Occurrence: 5
ADDRESS: '   <| s St. |>   Louis   --   [1300 S MAIN ST]  {ajg.com}    Occurrence: 1
CITY:    <| Anchorage |>   (   --   [ANCHORAGE]  {ajeatt.org}    Occurrence: 1
COMPANY: Armbrecht   <| Jackson LLP |>   is   --   [AMBRECHT JACKSON LLP]  {ajlaw.com}    Occurrence: 2
COMPANY:    <| American Jewish Congress |>   National   --   [AMERICAN JEWISH CONGRESS]  {ajcongress.org}    Occurrence: 1
COMPANY: of   <| Arthur J. Gallagher & Co. |>   partner   --   [ARTHUR J GALLAGHER AND CO]  {ajg.com}    Occurrence: 1
COMPANY: but   <| AJF Financial |>   Services   --   [AJF FINANCIAL SVC]  {ajffinancial.com}    Occurrence: 2
COMPANY:    <| AJF FINANCIAL |>   SERVICES   --   [AJF FINANCIAL SVC]  {ajffinancial.com}    Occurrence: 6
COMPANY: Neither   <| Arthur J. Gallagher & Co. |>   ,   --   [ARTHUR J GALLAGHER AND CO]  {ajg.com}    Occurrence: 1
