Format: LABEL: Actual words in document  --  [Pattern used]  {Original file}  Number of occurrence

COMPANY: ©   <| Arthur J. Gallagher & Co. |>   1999   --   [ARTHUR J GALLAGHER AND CO]  {ajg.com}    Occurrence: 9
COMPANY: AJ   <| Benet , Inc. |>   Insurance   --   [A J BENET INCORPORATION]  {ajbenet.com}    Occurrence: 4
COMPANY: recommend   <| A & J Sales |>   to   --   [A AND J SALES]  {ajsalesent.com}    Occurrence: 2
COMPANY: ,   <| A & J Refrigeration |>   can   --   [A AND J REFRIGERATION]  {ajrefrigeration.net}    Occurrence: 1
COMPANY:    <| anderson , julian , hull |>   ,   --   [ANDERSON JULIAN AND HULL]  {ajhlaw.com}    Occurrence: 3
COMPANY:    <| Arthur J. Gallagher & Co |>   .   --   [ARTHUR J GALLAGHER AND CO]  {ajg.com}    Occurrence: 21
COMPANY: AJ   <| Fasteners , Inc. |>   -   --   [A J FASTENERS INCORPORATION]  {ajfasteners.com}    Occurrence: 1
COMPANY: to   <| shrink packaging or laminating |>   .   --   [AJM SHRINK WRAP AND LAMINATING]  {ajminc.com}    Occurrence: 1
CITY: ,   <| Las Vegas |>   ,   --   [NORTH LAS VEGAS]  {ajbuilders.com}    Occurrence: 1
COMPANY:    <| Anderson , Julian & Hull |>   LLP   --   [ANDERSON JULIAN AND HULL]  {ajhlaw.com}    Occurrence: 3
COMPANY:    <| Ajax Construction , Inc. |>   --   --   [AJAX CONSTRUCTION INCORPORATION]  {ajaxconstructioninc.com}    Occurrence: 3
COMPANY:    <| Ajillus , Inc. |>   :   --   [AJILLUS INCORPORATION]  {ajillus.com}    Occurrence: 8
COMPANY: President   <| Finance , Office |>   ,   --   [AJILOS FINANCE AND OFFICE]  {ajilon.com}    Occurrence: 1
ADDRESS:    <| 1411 Fourth Avenue , Suite 303 |>      --   [1411 4TH AVENUE # 303]  {ajillus.com}    Occurrence: 1
COMPANY:    <| A & J Refrigeration |>   sells   --   [A AND J REFRIGERATION]  {ajrefrigeration.net}    Occurrence: 1
CITY: Vaqueros   <| Las Vegas |>   are   --   [NORTH LAS VEGAS]  {ajbuilders.com}    Occurrence: 1
