Format: LABEL: Previous <| Matched words |> Next  --  [Pattern used]  {Original file}  Number of occurrence

CITY: ensuring <| Akron |> Children -- [AKRON]  {akronchildrens.org}    Occurrence: 1

COMPANY: Akron <| Children ' s Hospital |> in -- [CHILDREN 'S HOSPITAL MEDICAL]  {akronchildrens.org}    Occurrence: 2

CITY: support <| Akron |> Children -- [AKRON]  {akronchildrens.org}    Occurrence: 3

COMPANY: Akron <| Children ' s Hospital |> Pediatrics -- [CHILDREN 'S HOSPITAL MEDICAL]  {akronchildrens.org}    Occurrence: 12

CITY: in <| Akron |> and -- [AKRON]  {akronchildrens.org}    Occurrence: 1

COMPANY: Akron <| Children ’ s Hospital |> has -- [CHILDREN 'S HOSPITAL MEDICAL]  {akronchildrens.org}    Occurrence: 1

COMPANY: Akron <| Children  s Hospital |> to -- [CHILDREN 'S HOSPITAL MEDICAL]  {akronchildrens.org}    Occurrence: 1

CITY: View <| Akron |> Children -- [AKRON]  {akronchildrens.org}    Occurrence: 11

CITY: Uniquely <| Akron |> Children -- [AKRON]  {akronchildrens.org}    Occurrence: 12

CITY: , <| Akron |> Children -- [AKRON]  {akronchildrens.org}    Occurrence: 44

CITY: the <| Akron |> Children -- [AKRON]  {akronchildrens.org}    Occurrence: 3

COMPANY: Akron <| Children ' s Hospital |> and -- [CHILDREN 'S HOSPITAL MEDICAL]  {akronchildrens.org}    Occurrence: 1

CITY:  <| Akron |> Children -- [AKRON]  {akronchildrens.org}    Occurrence: 58

COMPANY: Akron <| Children ' s Hospital |> Foundation -- [CHILDREN 'S HOSPITAL MEDICAL]  {akronchildrens.org}    Occurrence: 2

CITY: with <| Akron |> Children -- [AKRON]  {akronchildrens.org}    Occurrence: 2

COMPANY: Akron <| Children ’ s Hospital |> and -- [CHILDREN 'S HOSPITAL MEDICAL]  {akronchildrens.org}    Occurrence: 1

CONTACT: of <| William and Rebecca Considine |> so -- [WILLIAM CONSIDINE]  {akronchildrens.org}    Occurrence: 1

CITY: s <| Akron |> Children -- [AKRON]  {akronchildrens.org}    Occurrence: 1

COMPANY: Akron <| Children ' s Hospital |> is -- [CHILDREN 'S HOSPITAL MEDICAL]  {akronchildrens.org}    Occurrence: 13

CITY: latest <| Akron |> Children -- [AKRON]  {akronchildrens.org}    Occurrence: 1

CITY: to <| Akron |> Children -- [AKRON]  {akronchildrens.org}    Occurrence: 15

